# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      32.18
8                      31.74
16                     31.64
32                     32.63
64                     58.88
128                    61.69
256                    64.64
512                    67.03
1024                   70.63
2048                   97.49
4096                   79.78
8192                   85.63
16384                  97.47
32768                 127.08
65536                 171.76
131072                287.09
262144                522.62
524288                978.70
1048576              1895.68
