# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      73.63
2                      73.39
4                      75.07
8                      85.92
16                     86.07
32                     86.52
64                     89.80
128                    94.24
256                   104.30
512                   111.78
1024                   89.55
2048                   98.16
4096                   93.31
8192                  114.68
16384                 167.28
32768                 306.49
65536                 551.46
131072               1201.13
262144               2558.59
524288               4870.77
1048576              9665.01
