# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.06
2                       2.98
4                       2.99
8                       3.23
16                      3.19
32                      3.24
64                      3.13
128                     4.07
256                     4.99
512                     6.10
1024                    6.37
2048                    7.38
4096                    9.60
8192                   14.70
16384                  27.35
32768                  53.90
65536                 107.34
131072                211.83
262144                400.44
524288                803.88
1048576              1504.17
