0 cxi 2 2 cxi2
0 gpu 4 2
1 cxi 1 2 cxi1
1 gpu 2 2

# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)        Validation
1                       3.97              Pass
2                       7.93              Pass
4                      16.06              Pass
8                      31.92              Pass
16                     57.95              Pass
32                    115.52              Pass
64                    173.42              Pass
128                   289.00              Pass
256                   561.83              Pass
512                  1312.07              Pass
1024                 2652.04              Pass
2048                 5175.74              Pass
4096                 9393.76              Pass
8192                16077.23              Pass
16384               24559.98              Pass
32768               31292.54              Pass
65536               42159.84              Pass
131072              57176.35              Pass
262144              43045.73              Pass
524288              32274.91              Pass
1048576             25068.34              Pass
2097152             22967.87              Pass
4194304             21326.36              Pass
